"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","Verify Contact Us Message Reset Button","","Fri Sep 12 12:02:51 GET 2025","broken","Fri Sep 12 12:02:51 GET 2025","","org.example.tests.ui.contactUsPage.VerifyContactUsMessageResetButtonTest","org.example.tests.ui.contactUsPage.VerifyContactUsMessageResetButtonTest","verifyContactUsMessageResetButton"
"","456","verifyPutUserByIdTest()","","Fri Sep 12 12:02:34 GET 2025","passed","Fri Sep 12 12:02:34 GET 2025","","org.example.tests.api.reqres.UserTests","org.example.tests.api.reqres.UserTests","verifyPutUserByIdTest"
"This test shows working with hidden elements","269","Verify It Is Possible To Handle Hidden Elements","","Fri Sep 12 12:02:50 GET 2025","broken","Fri Sep 12 12:02:51 GET 2025","","org.example.tests.ui.hiddenElementsPage.VerifyHandlingHiddenElementsTest","org.example.tests.ui.hiddenElementsPage.VerifyHandlingHiddenElementsTest","verifyHandlingHiddenElements"
"","13184","Verify Home Page Is Opened Test","","Fri Sep 12 12:02:35 GET 2025","broken","Fri Sep 12 12:02:48 GET 2025","","org.example.tests.ui.homePage.VerifyHomePageIsOpenedTest","org.example.tests.ui.homePage.VerifyHomePageIsOpenedTest","verifyHomePageIsOpened"
"","1252","verifyPatchUserByIdTest()","","Fri Sep 12 12:02:32 GET 2025","passed","Fri Sep 12 12:02:33 GET 2025","","org.example.tests.api.reqres.UserTests","org.example.tests.api.reqres.UserTests","verifyPatchUserByIdTest"
"This test shows working with actions","221","Verify Actions","","Fri Sep 12 12:02:49 GET 2025","broken","Fri Sep 12 12:02:49 GET 2025","","org.example.tests.ui.actions.VerifyActionsTest","org.example.tests.ui.actions.VerifyActionsTest","VerifyActions"
"","215","verifyGetUserByIdTest()","","Fri Sep 12 12:02:34 GET 2025","passed","Fri Sep 12 12:02:34 GET 2025","","org.example.tests.api.reqres.UserTests","org.example.tests.api.reqres.UserTests","verifyGetUserByIdTest"
"This test shows working with pop-ups and alerts","285","Verify Pop-Ups And Alerts","","Fri Sep 12 12:02:52 GET 2025","broken","Fri Sep 12 12:02:52 GET 2025","","org.example.tests.ui.popUpsAndAlertsPage.VerifyPopUpsAndAlertsTest","org.example.tests.ui.popUpsAndAlertsPage.VerifyPopUpsAndAlertsTest","verifyPopUpsAndAlerts"
"This test shows working with Date Picker","333","Verify Date Picker","","Fri Sep 12 12:02:48 GET 2025","broken","Fri Sep 12 12:02:49 GET 2025","","org.example.tests.ui.datePickerPage.VerifyDatePickerTest","org.example.tests.ui.datePickerPage.VerifyDatePickerTest","verifyDatePicker"
"","230","verifyDeleteUserByIdTest()","","Fri Sep 12 12:02:34 GET 2025","passed","Fri Sep 12 12:02:34 GET 2025","","org.example.tests.api.reqres.UserTests","org.example.tests.api.reqres.UserTests","verifyDeleteUserByIdTest"
"This test shows working with browser tabs and iFrames in DOM","261","Verify It Is Possible To Switch To IFrame","","Fri Sep 12 12:02:50 GET 2025","broken","Fri Sep 12 12:02:50 GET 2025","","org.example.tests.ui.iFramePage.VerifyItIsPossibleToSwitchToIFrameTest","org.example.tests.ui.iFramePage.VerifyItIsPossibleToSwitchToIFrameTest","verifyItIsPossibleToSwitchToIFrame"
"This test shows working with Data Tables And Button States","188","Verify Data Tables And Button States","","Fri Sep 12 12:02:51 GET 2025","broken","Fri Sep 12 12:02:52 GET 2025","","org.example.tests.ui.dataTablesAndButtonStatesPage.VerifyDataTablesAndButtonStatesTest","org.example.tests.ui.dataTablesAndButtonStatesPage.VerifyDataTablesAndButtonStatesTest","verifyDataTablesAndButtonStates"
"","230","Verify Contact Us Message Is Sent","","Fri Sep 12 12:02:51 GET 2025","broken","Fri Sep 12 12:02:51 GET 2025","","org.example.tests.ui.contactUsPage.VerifyContactUsMessageIsSentTest","org.example.tests.ui.contactUsPage.VerifyContactUsMessageIsSentTest","verifyContactUsMessageIsSent"
"","2872","testStubOnly1()","","Fri Sep 12 12:02:29 GET 2025","passed","Fri Sep 12 12:02:32 GET 2025","","org.example.tests.api.reqres.MockAndStabUserWireMockTests","org.example.tests.api.reqres.MockAndStabUserWireMockTests","testStubOnly1"
"This test shows working with Scrolling Around","324","Verify Scrolling Around","","Fri Sep 12 12:02:49 GET 2025","broken","Fri Sep 12 12:02:50 GET 2025","","org.example.tests.ui.scrollingAroundPage.VerifyScrollingAroundTest","org.example.tests.ui.scrollingAroundPage.VerifyScrollingAroundTest","verifyScrollingAround"
"","521","verifyGetUserListTest()","","Fri Sep 12 12:02:34 GET 2025","passed","Fri Sep 12 12:02:35 GET 2025","","org.example.tests.api.reqres.UserTests","org.example.tests.api.reqres.UserTests","verifyGetUserListTest"
"This test shows working with upload file","190","Verify Upload File","","Fri Sep 12 12:02:49 GET 2025","broken","Fri Sep 12 12:02:49 GET 2025","","org.example.tests.ui.uploadFilePage.VerifyUploadFileTest","org.example.tests.ui.uploadFilePage.VerifyUploadFileTest","verifyUploadFile"
"This test shows working with ToDo list","236","Verify ToDo List","","Fri Sep 12 12:02:50 GET 2025","broken","Fri Sep 12 12:02:50 GET 2025","","org.example.tests.ui.toDoListPage.VerifyToDoListTest","org.example.tests.ui.toDoListPage.VerifyToDoListTest","verifyToDoList"
"","90","testStubOnly2()","","Fri Sep 12 12:02:32 GET 2025","passed","Fri Sep 12 12:02:32 GET 2025","","org.example.tests.api.reqres.MockAndStabUserWireMockTests","org.example.tests.api.reqres.MockAndStabUserWireMockTests","testStubOnly2"
"This test shows working with Dropdowns, Checkboxes and Radio Buttons","267","Verify Dropdowns, Checkboxes and Radio Buttons","","Fri Sep 12 12:02:50 GET 2025","broken","Fri Sep 12 12:02:50 GET 2025","","org.example.tests.ui.dropCheckRadioButtonsPage.VerifyDropCheckRadioButtonsTest","org.example.tests.ui.dropCheckRadioButtonsPage.VerifyDropCheckRadioButtonsTest","verifyDropCheckRadioButtons"
